negeri,kod_pusat,institusi,program,kod_noss,kategori,tahap,status,alamat,telefon,emel,idpb,utama,ptk
TERENGGANU,K05033,KOLEJ VOKASIONAL WAKAF TEMBESU,Setiausaha Korporat Eksekutif,FB-025-3:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Sekat Pengambilan,"JALAN TENGKU OMAR, 21300 KUALA TERENGGANU TERENGGANU",09-6664220,tha7001@moe.edu.my,1185,False,False
TERENGGANU,K05033,KOLEJ VOKASIONAL WAKAF TEMBESU,"Troubleshooting, Pembaikpulihan & Penyelenggaraan Peralatan Elektronik",EE-021-3:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Sekat Pengambilan,"JALAN TENGKU OMAR, 21300 KUALA TERENGGANU TERENGGANU",09-6664220,tha7001@moe.edu.my,1185,False,False
TERENGGANU,L01479,KT SKILL INSTITUTE,OPERASI PEMESINAN,C259-006-2:2020,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,F18-F27 KAWASAN PERINDUSTRIAN CHENDERING,09-6164410,ktskill@ktsi.edu.my,1217,False,False
TERENGGANU,L01479,KT SKILL INSTITUTE,Pemasangan dan Penyelenggaraan Elektrik Satu Fasa,F432-005-2:2019,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,F18-F27 KAWASAN PERINDUSTRIAN CHENDERING,09-6164410,ktskill@ktsi.edu.my,1217,False,False
TERENGGANU,L01479,KT SKILL INSTITUTE,Pemasangan dan Penyelenggaraan Elektrik Tiga Fasa,F432-005-3:2019,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,F18-F27 KAWASAN PERINDUSTRIAN CHENDERING,09-6164410,ktskill@ktsi.edu.my,1217,False,False
TERENGGANU,L01479,KT SKILL INSTITUTE,"Pemasangan dan Penyelenggaraan Satu Fasa Penyamanan Udara, Pengudaraan, Pemanasan (HVAC)",F432-007-3:2020,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,F18-F27 KAWASAN PERINDUSTRIAN CHENDERING,09-6164410,ktskill@ktsi.edu.my,1217,False,False
TERENGGANU,L00290,MIZA ELECTRICAL CENTRE (CAWANGAN KEMAMAN),Pemasangan dan Penyelenggaraan Elektrik Satu Fasa,F432-005-2:2019,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"LOT PT 16272, JALAN INJIN GERGAJI, TAMAN IG PESONA, KG, INJIN GERGAJI, 24000 KEMAMAN, TERENGGANU",019-923 7961 /,mizaelectrical@gmail.com,1202,False,False
TERENGGANU,L02993,PROFESSIONAL MUTAWWIF DEVELOPMENT INTERNATIONAL COLLEGE KAMPUS UiTM KUALA TERENGGANU,Pengurusan Mutawwif Umrah Dan Ziarah,N791-001-4:2016,Program Penuh - Persijilan Tahap Tunggal,Diploma Kemahiran Malaysia,Aktif,"PROFESSIONAL MUTAWWIF DEVELOPMENT INTERNATIONAL UNIVERSITY COLLEGE - KAMPUS UiTM TERENGGANU, KOMPLEKS AKADEMIK, D/A UiTM CAWANGAN TERENGGANU, KAMPUS KUALA TERENGGANU, 21080 KUALA TERENGGANU, TERENGGANU",0124477855,pmdicterengganu@pmdic.edu.my,19632,False,False
TERENGGANU,K14038,PUSAT LATIHAN INDUSTRI PERKAYUAN TERENGGANU,Lukisan Pelan Senibina,BC-050-3:2013,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Sekat Pengambilan,"LOT 3400, KAMPUS TTITC TERIS 21700 KUALA BERANG, TERENGGANU",0183674799,enquiry@ttitc.edu.my,1198,False,False
TERENGGANU,K14038,PUSAT LATIHAN INDUSTRI PERKAYUAN TERENGGANU,Operasi Pembuatan Perabot,RB-050-3:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Sekat Pengambilan,"LOT 3400, KAMPUS TTITC TERIS 21700 KUALA BERANG, TERENGGANU",0183674799,enquiry@ttitc.edu.my,1198,False,False
TERENGGANU,K14038,PUSAT LATIHAN INDUSTRI PERKAYUAN TERENGGANU,Operasi Pembuatan Perabot,RB-050-2:2012,Program Micro Credential,SKM Tahap 2,Aktif,"LOT 3400, KAMPUS TTITC TERIS 21700 KUALA BERANG, TERENGGANU",0183674799,enquiry@ttitc.edu.my,1198,False,False
TERENGGANU,K14038,PUSAT LATIHAN INDUSTRI PERKAYUAN TERENGGANU,Operasi Pengeluaran Perabot,RB-053-4:2014,Program Penuh - Persijilan Mengikut Tahap,Diploma Kemahiran Malaysia,Sekat Pengambilan,"LOT 3400, KAMPUS TTITC TERIS 21700 KUALA BERANG, TERENGGANU",0183674799,enquiry@ttitc.edu.my,1198,False,False
TERENGGANU,K14038,PUSAT LATIHAN INDUSTRI PERKAYUAN TERENGGANU,PELUKIS KANAN REKAAN DALAMAN,ID-040-3,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"LOT 3400, KAMPUS TTITC TERIS 21700 KUALA BERANG, TERENGGANU",0183674799,enquiry@ttitc.edu.my,1198,False,False
TERENGGANU,K14038,PUSAT LATIHAN INDUSTRI PERKAYUAN TERENGGANU,PELUKIS REKAAN DALAMAN,ID-040-2,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Aktif,"LOT 3400, KAMPUS TTITC TERIS 21700 KUALA BERANG, TERENGGANU",0183674799,enquiry@ttitc.edu.my,1198,False,False
TERENGGANU,K14038,PUSAT LATIHAN INDUSTRI PERKAYUAN TERENGGANU,PENGUKIRAN KAYU,SS-200-3:2013,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Sekat Pengambilan,"LOT 3400, KAMPUS TTITC TERIS 21700 KUALA BERANG, TERENGGANU",0183674799,enquiry@ttitc.edu.my,1198,False,False
TERENGGANU,K14028,PUSAT PEMBANGUNAN KEMAHIRAN NEGERI TERENGGANU (TESDEC),Lukisan Pelan Senibina,BC-050-3:2013,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Sekat Pengambilan,KAMPUS INDUK TESDEC KAWASAN PERINDUSTRIAN BUKIT KHOR 21600 MARANG TERENGGANU,09-6272222,info@tesdec.edu.my,1197,False,False
TERENGGANU,K14028,PUSAT PEMBANGUNAN KEMAHIRAN NEGERI TERENGGANU (TESDEC),"Operasi Fabrikasi Paip(Minyak, Gas & Petrokimia)",OG-010-2:2011,Program Micro Credential,SKM Tahap 2,Aktif,KAMPUS INDUK TESDEC KAWASAN PERINDUSTRIAN BUKIT KHOR 21600 MARANG TERENGGANU,09-6272222,info@tesdec.edu.my,1197,False,False
TERENGGANU,K14028,PUSAT PEMBANGUNAN KEMAHIRAN NEGERI TERENGGANU (TESDEC),PEMBUATAN PAKAIAN WANITA,C141-005-2:2021,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,KAMPUS INDUK TESDEC KAWASAN PERINDUSTRIAN BUKIT KHOR 21600 MARANG TERENGGANU,09-6272222,info@tesdec.edu.my,1197,False,False
TERENGGANU,K14028,PUSAT PEMBANGUNAN KEMAHIRAN NEGERI TERENGGANU (TESDEC),PERKHIDMATAN PEMBAIKAN – KENDERAAN RINGAN,G452-002-2:2018,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,KAMPUS INDUK TESDEC KAWASAN PERINDUSTRIAN BUKIT KHOR 21600 MARANG TERENGGANU,09-6272222,info@tesdec.edu.my,1197,False,False
TERENGGANU,K14028,PUSAT PEMBANGUNAN KEMAHIRAN NEGERI TERENGGANU (TESDEC),PERKHIDMATAN PEMBAIKAN – KENDERAAN RINGAN,G452-002-2:2018,Program Micro Credential - Tauliah Sedia Ada,SKM Tahap 2,Aktif,KAMPUS INDUK TESDEC KAWASAN PERINDUSTRIAN BUKIT KHOR 21600 MARANG TERENGGANU,09-6272222,info@tesdec.edu.my,1197,False,False
TERENGGANU,K14028,PUSAT PEMBANGUNAN KEMAHIRAN NEGERI TERENGGANU (TESDEC),Pemasangan dan Penyelenggaraan Elektrik Satu Fasa,F432-005-2:2019,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,KAMPUS INDUK TESDEC KAWASAN PERINDUSTRIAN BUKIT KHOR 21600 MARANG TERENGGANU,09-6272222,info@tesdec.edu.my,1197,False,False
TERENGGANU,K14028,PUSAT PEMBANGUNAN KEMAHIRAN NEGERI TERENGGANU (TESDEC),Pemasangan dan Penyelenggaraan Sistem Solar Photovoltaic (PV),F432-009-2:2021,Program Micro Credential,SKM Tahap 2,Aktif,KAMPUS INDUK TESDEC KAWASAN PERINDUSTRIAN BUKIT KHOR 21600 MARANG TERENGGANU,09-6272222,info@tesdec.edu.my,1197,False,False
TERENGGANU,K14028,PUSAT PEMBANGUNAN KEMAHIRAN NEGERI TERENGGANU (TESDEC),Pembuatan Pakaian Wanita,TA-011-3:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 3,Sekat Pengambilan,KAMPUS INDUK TESDEC KAWASAN PERINDUSTRIAN BUKIT KHOR 21600 MARANG TERENGGANU,09-6272222,info@tesdec.edu.my,1197,False,False
TERENGGANU,K14028,PUSAT PEMBANGUNAN KEMAHIRAN NEGERI TERENGGANU (TESDEC),Proses Kimpalan Arka Kepingan Logam,MC-024-3:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Sekat Pengambilan,KAMPUS INDUK TESDEC KAWASAN PERINDUSTRIAN BUKIT KHOR 21600 MARANG TERENGGANU,09-6272222,info@tesdec.edu.my,1197,False,False
TERENGGANU,K14028,PUSAT PEMBANGUNAN KEMAHIRAN NEGERI TERENGGANU (TESDEC),Proses Kimpalan Arka Kepingan Logam,MC-024-3:2012,Program Micro Credential - Tauliah Sedia Ada,SKM Tahap 3,Aktif,KAMPUS INDUK TESDEC KAWASAN PERINDUSTRIAN BUKIT KHOR 21600 MARANG TERENGGANU,09-6272222,info@tesdec.edu.my,1197,False,False
TERENGGANU,L00746,RANACO VOCATIONAL TRAINING CENTRE,Operasi Servis Makanan & Minuman,I561-002-2:2018,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Sekat Pengambilan,PT 4568 JLN BENGKEL 1 KAWASAN PERINDUSTRIAN JAKAR II 24000 KEMAMAN TERENGGANU,09-8503160,ct_ramlah@reti.edu.my,1207,False,False
TERENGGANU,L00746,RANACO VOCATIONAL TRAINING CENTRE,Operasi Sokongan Navigasi,H501-003-2:2019,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,PT 4568 JLN BENGKEL 1 KAWASAN PERINDUSTRIAN JAKAR II 24000 KEMAMAN TERENGGANU,09-8503160,ct_ramlah@reti.edu.my,1207,False,False
TERENGGANU,L00746,RANACO VOCATIONAL TRAINING CENTRE,Penyelia Keselamatan dan Kesihatan Tapak Binaan,CSH3,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Sekat Pengambilan,PT 4568 JLN BENGKEL 1 KAWASAN PERINDUSTRIAN JAKAR II 24000 KEMAMAN TERENGGANU,09-8503160,ct_ramlah@reti.edu.my,1207,False,False
TERENGGANU,L01942,REAL MILLENIUM HEALTH & BEAUTY,Dandanan Rambut,HT-090-2:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,79B.C TINGKAT 1 & 2 JALAN SULTAN ISMAIL 20200 KUALA TERENGGANU TERENGGANU,09 622 1252,real5588@yahoo.com,1220,False,False
TERENGGANU,L01942,REAL MILLENIUM HEALTH & BEAUTY,Dandanan Rambut,HT-090-3:2012,Program Micro Credential,SKM Tahap 3,Aktif,79B.C TINGKAT 1 & 2 JALAN SULTAN ISMAIL 20200 KUALA TERENGGANU TERENGGANU,09 622 1252,real5588@yahoo.com,1220,False,False
TERENGGANU,L01942,REAL MILLENIUM HEALTH & BEAUTY,Perkhidmatan Kecantikan,S960-002-1:2020,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 1,Aktif,79B.C TINGKAT 1 & 2 JALAN SULTAN ISMAIL 20200 KUALA TERENGGANU TERENGGANU,09 622 1252,real5588@yahoo.com,1220,False,False
TERENGGANU,L01942,REAL MILLENIUM HEALTH & BEAUTY,Perkhidmatan Terapi Kecantikan,S960-002-2:2020,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,79B.C TINGKAT 1 & 2 JALAN SULTAN ISMAIL 20200 KUALA TERENGGANU TERENGGANU,09 622 1252,real5588@yahoo.com,1220,False,False
TERENGGANU,NDT005,RSA ACADEMY,Pemeriksaan Ultrasonik- Binaan Berkimpalan (Pengukuran Ketebalan & Pelaminaan)Minyak & Gas,MC-113-1:2015,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 1,Aktif,"C-20-1, JALAN UDANG 1, RIVER FRONT BUSINESS CENTRE, 24000 CHUKAI, KEMAMAN, TERENGGANU",09-858 2168,rsaacasb@gmail.com,1823,False,False
TERENGGANU,NDT005,RSA ACADEMY,Pemeriksaan Ultrasonik- Binaan Berkimpalan (Plat & Paip)Minyak & Gas,MC-113-2:2015,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"C-20-1, JALAN UDANG 1, RIVER FRONT BUSINESS CENTRE, 24000 CHUKAI, KEMAMAN, TERENGGANU",09-858 2168,rsaacasb@gmail.com,1823,False,False
TERENGGANU,NDT005,RSA ACADEMY,Pengujian Arus Pusar – Tiub & Plat (Minyak & Gas),MC-111-1:2014,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 1,Aktif,"C-20-1, JALAN UDANG 1, RIVER FRONT BUSINESS CENTRE, 24000 CHUKAI, KEMAMAN, TERENGGANU",09-858 2168,rsaacasb@gmail.com,1823,False,False
TERENGGANU,NDT005,RSA ACADEMY,Pengujian Arus Pusar – Tiub & Plat (Minyak & Gas),MC-111-2:2014,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"C-20-1, JALAN UDANG 1, RIVER FRONT BUSINESS CENTRE, 24000 CHUKAI, KEMAMAN, TERENGGANU",09-858 2168,rsaacasb@gmail.com,1823,False,False
TERENGGANU,NDT005,RSA ACADEMY,Pengujian Partikel Magnetik – Pembinaan Terkimpal (Minyak & Gas),MC-114-1:2014,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 1,Aktif,"C-20-1, JALAN UDANG 1, RIVER FRONT BUSINESS CENTRE, 24000 CHUKAI, KEMAMAN, TERENGGANU",09-858 2168,rsaacasb@gmail.com,1823,False,False
TERENGGANU,NDT005,RSA ACADEMY,Pengujian Partikel Magnetik – Pembinaan Terkimpal (Minyak & Gas),MC-114-2:2014,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"C-20-1, JALAN UDANG 1, RIVER FRONT BUSINESS CENTRE, 24000 CHUKAI, KEMAMAN, TERENGGANU",09-858 2168,rsaacasb@gmail.com,1823,False,False
TERENGGANU,NDT005,RSA ACADEMY,Pengujian Penembusan- Pembinaan Terkimpal (Minyak & Gas),MC-112-1:2014,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 1,Aktif,"C-20-1, JALAN UDANG 1, RIVER FRONT BUSINESS CENTRE, 24000 CHUKAI, KEMAMAN, TERENGGANU",09-858 2168,rsaacasb@gmail.com,1823,False,False
TERENGGANU,NDT005,RSA ACADEMY,Pengujian Penembusan- Pembinaan Terkimpal (Minyak & Gas),MC-112-2:2014,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"C-20-1, JALAN UDANG 1, RIVER FRONT BUSINESS CENTRE, 24000 CHUKAI, KEMAMAN, TERENGGANU",09-858 2168,rsaacasb@gmail.com,1823,False,False
TERENGGANU,NDT005,RSA ACADEMY,Pentafsiran Radiografi – Pembinaan Berkimpalan,MC-115-2:2016,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"C-20-1, JALAN UDANG 1, RIVER FRONT BUSINESS CENTRE, 24000 CHUKAI, KEMAMAN, TERENGGANU",09-858 2168,rsaacasb@gmail.com,1823,False,False
TERENGGANU,NDT005,RSA ACADEMY,UJIAN RADIOGRAFI - BINAAN TERKIMPAL,M712-011-1:2022,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 1,Aktif,"C-20-1, JALAN UDANG 1, RIVER FRONT BUSINESS CENTRE, 24000 CHUKAI, KEMAMAN, TERENGGANU",09-858 2168,rsaacasb@gmail.com,1823,False,False
TERENGGANU,NDT005,RSA ACADEMY,UJIAN RADIOGRAFI - BINAAN TERKIMPAL,M712-011-2:2022,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"C-20-1, JALAN UDANG 1, RIVER FRONT BUSINESS CENTRE, 24000 CHUKAI, KEMAMAN, TERENGGANU",09-858 2168,rsaacasb@gmail.com,1823,False,False
TERENGGANU,NDT003,RUANE-TATI SDN BHD,UJIAN RADIOGRAFI - BINAAN TERKIMPAL,M712-011-1:2022,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 1,Aktif,"PT 4847, JALAN PANCHOR, TELOK KALONG, 24000 KEMAMAN, TERENGGANU.",09-863 1033,admin@ruanetati.com,1821,False,False
TERENGGANU,NDT003,RUANE-TATI SDN BHD,UJIAN RADIOGRAFI - BINAAN TERKIMPAL,M712-011-2:2022,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"PT 4847, JALAN PANCHOR, TELOK KALONG, 24000 KEMAMAN, TERENGGANU.",09-863 1033,admin@ruanetati.com,1821,False,False
TERENGGANU,K05922,SEKOLAH MENENGAH KEBANGSAAN AYER PUTEH,PEMBUATAN PASTRI,HT-014-2:2011,Program Micro Credential,SKM Tahap 2,Aktif,"Jalan Ayer Puteh, Kampung Tebak, 24050 Kemaman, Terengganu",09-8502671,TEA2024@moe.edu.my,16785,False,False
TERENGGANU,K05303,SEKOLAH MENENGAH KEBANGSAAN BADRUL ALAM SHAH,OPERASI PENGELUARAN TANAMAN,A016-001-3:2016,Program Micro Credential,SKM Tahap 3,Aktif,"24200 KEMASEK, KEMAMAN, TERENGGANU",09-8662220,TEA2023@moe.edu.my,1580,False,False
TERENGGANU,K05303,SEKOLAH MENENGAH KEBANGSAAN BADRUL ALAM SHAH,OPERASI PENGELUARAN TANAMAN,A016-004-3:2024,Program Micro Credential,SKM Tahap 3,Aktif,"24200 KEMASEK, KEMAMAN, TERENGGANU",09-8662220,TEA2023@moe.edu.my,1580,False,False
TERENGGANU,K05303,SEKOLAH MENENGAH KEBANGSAAN BADRUL ALAM SHAH,Pembuatan Roti,HT-013-2:2011,Program Micro Credential,SKM Tahap 2,Aktif,"24200 KEMASEK, KEMAMAN, TERENGGANU",09-8662220,TEA2023@moe.edu.my,1580,False,False
TERENGGANU,K05303,SEKOLAH MENENGAH KEBANGSAAN BADRUL ALAM SHAH,Penyediaan & Pembuatan Makanan,HT-012-2:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"24200 KEMASEK, KEMAMAN, TERENGGANU",09-8662220,TEA2023@moe.edu.my,1580,False,False
TERENGGANU,K05308,SEKOLAH MENENGAH KEBANGSAAN BALAI BESAR,PENYEDIAAN DAN PENGHASILAN MAKANAN,I561-005-2:2022,Program Micro Credential,SKM Tahap 2,Aktif,"23000 DUNGUN, TERENGGANU",09-8457600,TEA1043@moe.edu.my,1575,False,False
TERENGGANU,K05308,SEKOLAH MENENGAH KEBANGSAAN BALAI BESAR,Pembuatan Pakaian Wanita,TA-011-2:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Aktif,"23000 DUNGUN, TERENGGANU",09-8457600,TEA1043@moe.edu.my,1575,False,False
TERENGGANU,K05308,SEKOLAH MENENGAH KEBANGSAAN BALAI BESAR,Penyediaan & Pembuatan Makanan,HT-012-2:2012,Program Micro Credential,SKM Tahap 2,Aktif,"23000 DUNGUN, TERENGGANU",09-8457600,TEA1043@moe.edu.my,1575,False,False
TERENGGANU,K05436,SEKOLAH MENENGAH KEBANGSAAN BELARA,Juruteknik Tanaman,AF-010-2,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Sekat Pengambilan,"MANIR, 21200 KUALA TERENGGANU, TERENGGANU",09-6152080,TEA3110@moe.edu.my,7419,False,False
TERENGGANU,K05436,SEKOLAH MENENGAH KEBANGSAAN BELARA,OPERASI PENGELUARAN TANAMAN,A016-001-3:2016,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"MANIR, 21200 KUALA TERENGGANU, TERENGGANU",09-6152080,TEA3110@moe.edu.my,7419,False,False
TERENGGANU,K05436,SEKOLAH MENENGAH KEBANGSAAN BELARA,Pembuatan Pakaian Wanita,TA-011-1:2012,Program Micro Credential,SKM Tahap 1,Aktif,"MANIR, 21200 KUALA TERENGGANU, TERENGGANU",09-6152080,TEA3110@moe.edu.my,7419,False,False
TERENGGANU,K05337,SEKOLAH MENENGAH KEBANGSAAN BUKIT BESI,Perkhidmatan Estetik,MP-060-2:2013,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Sekat Pengambilan,"JALAN RAKSA, 23200 DUNGUN, TERENGGANU",09-8337400,TEA_1042@YAHOO.COM,1713,False,False
TERENGGANU,K05337,SEKOLAH MENENGAH KEBANGSAAN BUKIT BESI,Perkhidmatan Terapi Kecantikan,S960-002-2:2020,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Aktif,"JALAN RAKSA, 23200 DUNGUN, TERENGGANU",09-8337400,TEA_1042@YAHOO.COM,1713,False,False
TERENGGANU,K05923,SEKOLAH MENENGAH KEBANGSAAN BUKIT DIMAN,Pembuatan Roti,HT-013-2:2011,Program Micro Credential,SKM Tahap 2,Aktif,SMK BUKIT DIMAN,096861493,TEA5044@moe.edu.my,16784,False,False
TERENGGANU,K05307,SEKOLAH MENENGAH KEBANGSAAN BUKIT TUNGGAL,Juruteknik Akuakultur (Hatceri),AF-033-2,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Aktif,21200 KUALA TERENGGANU,09-6624406,TEA7004@moe.edu.my,1579,False,False
TERENGGANU,K05358,SEKOLAH MENENGAH KEBANGSAAN CHALOK MODEL KHAS,Pembuatan Pakaian Wanita,TA-011-2:2012,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Aktif,21450 SETIU,09-6576013,SMKCHALOK@GMAIL.COM,1747,False,False
TERENGGANU,K05934,SEKOLAH MENENGAH KEBANGSAAN CHUNG HWA WEI SIN,Penyediaan & Pembuatan Makanan,HT-012-2:2012,Program Micro Credential,SKM Tahap 2,Aktif,"SEKOLAH MENENGAH KEBANGSAAN CHUNG HWA WEI SIN, JALAN BUKIT KECIL, 21100 KUALA TERENGGANU, TERENGGANU.",09-6203735,sekolah-6259-cm8@moe-dl.edu.my,16779,False,False
TERENGGANU,K05304,SEKOLAH MENENGAH KEBANGSAAN JENAGOR,Penyediaan & Pembuatan Makanan,HT-012-2:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,21700 KUALA BERANG,09-6818184,SMKJENAGOR5041@GMAIL.COM,1696,False,False
TERENGGANU,K05664,SEKOLAH MENENGAH KEBANGSAAN JERANGAU,Juruteknik Tanaman,AF-010-2,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Sekat Pengambilan,"KG JERAGAU, 23200 BUKIT BESI, TERENGGANU",09-8384822,tea1035@moe.edu.my,1193,False,False
TERENGGANU,K05664,SEKOLAH MENENGAH KEBANGSAAN JERANGAU,OPERASI PENGELUARAN TANAMAN,A016-001-3:2016,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"KG JERAGAU, 23200 BUKIT BESI, TERENGGANU",09-8384822,tea1035@moe.edu.my,1193,False,False
TERENGGANU,K05664,SEKOLAH MENENGAH KEBANGSAAN JERANGAU,PEMBUATAN PASTRI,HT-014-2:2011,Program Micro Credential,SKM Tahap 2,Aktif,"KG JERAGAU, 23200 BUKIT BESI, TERENGGANU",09-8384822,tea1035@moe.edu.my,1193,False,False
TERENGGANU,K05924,SEKOLAH MENENGAH KEBANGSAAN KETENGAH JAYA,PEMBUATAN PASTRI,HT-014-2:2011,Program Micro Credential,SKM Tahap 2,Aktif,"Felda Kerteh 4, 22300 BANDAR KETENGAH JAYA",098200150,TEA1037@moe.edu.my,16780,False,False
TERENGGANU,K05325,SEKOLAH MENENGAH KEBANGSAAN KIJAL,OPERASI PENGELUARAN TANAMAN,A016-001-3:2016,Program Micro Credential,SKM Tahap 3,Aktif,"24100 KIJAL, KEMAMAN, TERENGGANU",09-8589235,TEA2026@moe.edu.my,1688,False,False
TERENGGANU,K05325,SEKOLAH MENENGAH KEBANGSAAN KIJAL,"Pemasangan dan Penyelenggaraan Satu Fasa Penyamanan Udara, Pengudaraan, Pemanasan (HVAC)",F432-007-3:2020,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"24100 KIJAL, KEMAMAN, TERENGGANU",09-8589235,TEA2026@moe.edu.my,1688,False,False
TERENGGANU,K05325,SEKOLAH MENENGAH KEBANGSAAN KIJAL,"Peralatan Penyamanan Udara HVAC -Satu Fasa (Pemasangan, Servis, Troubleshooting & Pembaikpulihan)",ME-020-2:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Sekat Pengambilan,"24100 KIJAL, KEMAMAN, TERENGGANU",09-8589235,TEA2026@moe.edu.my,1688,False,False
TERENGGANU,K05665,SEKOLAH MENENGAH KEBANGSAAN KOMPLEKS MENGABANG TELIPOT,Juruteknik Tanaman,AF-010-2,Program Penuh - Persijilan Tahap Tunggal,SKM Tahap 2,Sekat Pengambilan,"SEKOLAH MENENGAH KEBANGSAAN KOMPLEKS MENGABANG TELIPOT 21030 KUALA TERENGGANU, TERENGGANU",096696172,tea7005@moe.edu.my,1194,False,False
TERENGGANU,K05665,SEKOLAH MENENGAH KEBANGSAAN KOMPLEKS MENGABANG TELIPOT,OPERASI PENGELUARAN TANAMAN,A016-001-3:2016,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 3,Aktif,"SEKOLAH MENENGAH KEBANGSAAN KOMPLEKS MENGABANG TELIPOT 21030 KUALA TERENGGANU, TERENGGANU",096696172,tea7005@moe.edu.my,1194,False,False
TERENGGANU,K05665,SEKOLAH MENENGAH KEBANGSAAN KOMPLEKS MENGABANG TELIPOT,Pembuatan Pakaian Wanita,TA-011-1:2012,Program Micro Credential,SKM Tahap 1,Aktif,"SEKOLAH MENENGAH KEBANGSAAN KOMPLEKS MENGABANG TELIPOT 21030 KUALA TERENGGANU, TERENGGANU",096696172,tea7005@moe.edu.my,1194,False,False
TERENGGANU,K05305,SEKOLAH MENENGAH KEBANGSAAN KOMPLEKS SEBERANG TAKIR,Pemasangan & Penyelenggaraan Elektrik-Satu Fasa,EE-320-2:2012,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Sekat Pengambilan,"21300 KUALA TERENGGANU, TERENGGANU",09-6672163,tea7007@moe.edu.my,1577,False,False
TERENGGANU,K05305,SEKOLAH MENENGAH KEBANGSAAN KOMPLEKS SEBERANG TAKIR,Pemasangan dan Penyelenggaraan Elektrik Satu Fasa,F432-005-2:2019,Program Penuh - Persijilan Mengikut Tahap,SKM Tahap 2,Aktif,"21300 KUALA TERENGGANU, TERENGGANU",09-6672163,tea7007@moe.edu.my,1577,False,False
TERENGGANU,K05305,SEKOLAH MENENGAH KEBANGSAAN KOMPLEKS SEBERANG TAKIR,Pembuatan Roti,HT-013-2:2011,Program Micro Credential,SKM Tahap 2,Aktif,"21300 KUALA TERENGGANU, TERENGGANU",09-6672163,tea7007@moe.edu.my,1577,False,False
